"Plot Title: EH263-H15"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20460581, SEN S/N: 20460581, LBL: Temp_H15)","RH, % (LGR S/N: 20460581, SEN S/N: 20460581, LBL: RH_H15)","End Of File (LGR S/N: 20460581)"
180,01/09/23 01:02:59 PM,70.930,36.851,
181,01/09/23 01:03:00 PM,70.930,36.917,
182,01/09/23 01:03:01 PM,70.930,36.950,
183,01/09/23 01:03:02 PM,70.930,36.983,
184,01/09/23 01:03:03 PM,70.887,37.013,
185,01/09/23 01:03:04 PM,70.887,37.046,
186,01/09/23 01:03:05 PM,70.887,37.046,
187,01/09/23 01:03:06 PM,70.887,37.112,
188,01/09/23 01:03:07 PM,70.887,37.112,
189,01/09/23 01:03:08 PM,70.887,37.177,
190,01/09/23 01:03:09 PM,70.930,37.180,
191,01/09/23 01:03:10 PM,70.887,37.210,
192,01/09/23 01:03:11 PM,70.887,37.243,
193,01/09/23 01:03:12 PM,70.887,37.243,
194,01/09/23 01:03:13 PM,70.887,37.276,
195,01/09/23 01:03:14 PM,70.887,37.308,
196,01/09/23 01:03:15 PM,70.887,37.308,
197,01/09/23 01:03:16 PM,70.887,37.341,
198,01/09/23 01:03:17 PM,70.887,37.374,
199,01/09/23 01:03:18 PM,70.887,37.407,
200,01/09/23 01:03:19 PM,70.887,37.407,
201,01/09/23 01:03:20 PM,70.887,37.407,
202,01/09/23 01:03:21 PM,70.887,37.440,
203,01/09/23 01:03:22 PM,70.887,37.472,
204,01/09/23 01:03:23 PM,70.887,37.505,
205,01/09/23 01:03:24 PM,70.887,37.505,
206,01/09/23 01:03:25 PM,70.887,37.505,
207,01/09/23 01:03:26 PM,70.887,37.538,
208,01/09/23 01:03:27 PM,70.887,37.571,
209,01/09/23 01:03:28 PM,70.887,37.571,
210,01/09/23 01:03:29 PM,70.887,37.571,
211,01/09/23 01:03:30 PM,70.887,37.505,
212,01/09/23 01:03:31 PM,70.887,37.440,
213,01/09/23 01:03:32 PM,70.887,37.341,
214,01/09/23 01:03:33 PM,70.887,37.243,
215,01/09/23 01:03:34 PM,70.887,37.210,
216,01/09/23 01:03:35 PM,70.887,37.177,
217,01/09/23 01:03:36 PM,70.846,37.175,
218,01/09/23 01:03:37 PM,70.887,37.177,
219,01/09/23 01:03:38 PM,70.846,37.109,
220,01/09/23 01:03:39 PM,70.846,37.109,
221,01/09/23 01:03:40 PM,70.887,37.112,
222,01/09/23 01:03:41 PM,70.846,37.109,
223,01/09/23 01:03:42 PM,70.846,37.142,
224,01/09/23 01:03:43 PM,70.846,37.175,
225,01/09/23 01:03:44 PM,70.846,37.175,
226,01/09/23 01:03:45 PM,70.846,37.240,
227,01/09/23 01:03:46 PM,70.887,37.243,
228,01/09/23 01:03:47 PM,70.846,37.273,
229,01/09/23 01:03:48 PM,70.846,37.306,
230,01/09/23 01:03:49 PM,70.846,37.306,
231,01/09/23 01:03:50 PM,70.846,37.372,
232,01/09/23 01:03:51 PM,70.846,37.372,
233,01/09/23 01:03:52 PM,70.846,37.404,
234,01/09/23 01:03:53 PM,70.846,37.437,
235,01/09/23 01:03:54 PM,70.846,37.437,
236,01/09/23 01:03:55 PM,70.846,37.437,
237,01/09/23 01:03:56 PM,70.846,37.470,
238,01/09/23 01:03:57 PM,70.846,37.503,
239,01/09/23 01:03:58 PM,70.846,37.503,
240,01/09/23 01:03:59 PM,70.846,37.536,
241,01/09/23 01:04:00 PM,70.846,37.568,
242,01/09/23 01:04:01 PM,70.846,37.568,
243,01/09/23 01:04:02 PM,70.846,37.568,
244,01/09/23 01:04:03 PM,70.846,37.601,
245,01/09/23 01:04:04 PM,70.846,37.634,
246,01/09/23 01:04:05 PM,70.846,37.601,
247,01/09/23 01:04:06 PM,70.846,37.634,
248,01/09/23 01:04:07 PM,70.846,37.634,
249,01/09/23 01:04:08 PM,70.846,37.667,
250,01/09/23 01:04:09 PM,70.846,37.667,
251,01/09/23 01:04:10 PM,70.846,37.699,
252,01/09/23 01:04:11 PM,70.846,37.699,
253,01/09/23 01:04:12 PM,70.846,37.732,
254,01/09/23 01:04:13 PM,70.846,37.732,
255,01/09/23 01:04:14 PM,70.846,37.732,
256,01/09/23 01:04:15 PM,70.846,37.765,
257,01/09/23 01:04:16 PM,70.846,37.765,
258,01/09/23 01:04:17 PM,70.846,37.765,
259,01/09/23 01:04:18 PM,70.846,37.765,
260,01/09/23 01:04:19 PM,70.846,37.798,
261,01/09/23 01:04:20 PM,70.846,37.830,
262,01/09/23 01:04:21 PM,70.846,37.830,
263,01/09/23 01:04:22 PM,70.846,37.830,
264,01/09/23 01:04:23 PM,70.846,37.830,
265,01/09/23 01:04:24 PM,70.846,37.830,
266,01/09/23 01:04:25 PM,70.846,37.863,
267,01/09/23 01:04:26 PM,70.846,37.896,
268,01/09/23 01:04:27 PM,70.846,37.896,
269,01/09/23 01:04:28 PM,70.846,37.896,
270,01/09/23 01:04:29 PM,70.846,37.896,
271,01/09/23 01:04:30 PM,70.846,37.896,
272,01/09/23 01:04:31 PM,70.846,37.896,
273,01/09/23 01:04:32 PM,70.846,37.929,
274,01/09/23 01:04:33 PM,70.846,37.929,
275,01/09/23 01:04:34 PM,70.846,37.961,
276,01/09/23 01:04:35 PM,70.846,37.961,
277,01/09/23 01:04:36 PM,70.846,37.961,
278,01/09/23 01:04:37 PM,70.846,37.961,
279,01/09/23 01:04:38 PM,70.846,37.994,
280,01/09/23 01:04:39 PM,70.846,38.027,
281,01/09/23 01:04:40 PM,70.846,37.994,
282,01/09/23 01:04:41 PM,70.846,37.994,
283,01/09/23 01:04:42 PM,70.846,38.027,
284,01/09/23 01:04:43 PM,70.846,38.027,
285,01/09/23 01:04:44 PM,70.846,38.027,
286,01/09/23 01:04:45 PM,70.846,38.027,
287,01/09/23 01:04:46 PM,70.887,38.029,
288,01/09/23 01:04:47 PM,70.887,38.029,
289,01/09/23 01:04:48 PM,70.846,38.059,
290,01/09/23 01:04:49 PM,70.887,38.095,
291,01/09/23 01:04:50 PM,70.846,38.092,
292,01/09/23 01:04:51 PM,70.887,38.095,
293,01/09/23 01:04:52 PM,70.887,38.095,
294,01/09/23 01:04:53 PM,70.887,38.095,
295,01/09/23 01:04:54 PM,70.846,38.092,
296,01/09/23 01:04:55 PM,70.846,38.092,
297,01/09/23 01:04:56 PM,70.887,38.095,
298,01/09/23 01:04:57 PM,70.846,38.092,
299,01/09/23 01:04:58 PM,70.887,38.095,
300,01/09/23 01:04:59 PM,70.887,38.127,
301,01/09/23 01:05:00 PM,70.887,38.095,
302,01/09/23 01:05:01 PM,70.887,38.127,
303,01/09/23 01:05:02 PM,70.887,38.127,
304,01/09/23 01:05:03 PM,70.887,38.160,
305,01/09/23 01:05:04 PM,70.887,38.160,
306,01/09/23 01:05:05 PM,70.887,38.160,
307,01/09/23 01:05:06 PM,70.887,38.160,
308,01/09/23 01:05:07 PM,70.887,38.160,
309,01/09/23 01:05:08 PM,70.887,38.160,
310,01/09/23 01:05:09 PM,70.887,38.160,
311,01/09/23 01:05:10 PM,70.887,38.160,
